seqname,tax_id
A00001558,g__Thermococcus
A00002602,g__Marinobacter
A00002975,g__Lactobacillus
A00001555,f__[Thermovenabulaceae]
A00004250,f__Thermoanaerobacteraceae
A00001557,f__Thermococcaceae
A00002979,f__Xanthomonadaceae
A00001551,g__Streptococcus
A00001550,g__Streptococcus
A00004257,g__Allobaculum
A00001552,g__Streptococcus
A00003556,g__Corynebacterium
A00003099,g__Gardnerella
A00003553,f__Sphingobacteriaceae
A00003625,g__Prevotella
A00003558,o__Entomoplasmatales
A00001775,p__Synergistetes
A00001776,g__Campylobacter
A00001771,g__Prevotella
A00001770,g__Prevotella
A00001773,s__periodonticum
A00001772,g__Prevotella
A00001779,g__Leptotrichia
A00001778,g__Fusobacterium
A00003952,f__Comamonadaceae
A00003951,g__Ruminococcus
A00003950,g__Photobacterium
A00003957,g__Alcaligenes_Achromobacter
A00003251,g__Alteromonas
A00002778,f__Methylococcaceae
A00002772,f__Rhodobacteraceae
A00002776,g__Serratia
A00002777,f__Methylococcaceae
A00002393,f__[Weeksellaceae]
A00002391,o__Oceanospirillales
A00002397,g__Mycobacterium
A00002394,g__Congregibacter
A00002399,c__Planctomycetia
A00002151,g__Listeria
A00002153,g__Taylorella
A00002154,g__Selenomonas
A00002155,g__Enterococcus
A00002157,g__Corynebacterium
A00002033,g__Corynebacterium
A00001032,o__Sphaerobacterales
A00002808,g__Oscillibacter
A00002809,f__Rhodobacteraceae
A00003823,f__[Weeksellaceae]
A00002559,g__Mycobacterium
A00003821,g__Odoribacter
A00001033,g__Spirosoma
A00002800,g__Lactobacillus
A00002801,g__Prevotella
A00002550,g__Asticcacaulis
A00001030,g__Rothia
A00002552,g__Thiomicrospira
A00002553,f__Saprospiraceae
A00001747,g__Porphyromonas
A00003609,g__Campylobacter
A00003608,g__Streptomyces
A00003607,g__Streptomyces
A00001740,g__Chryseobacterium
A00003602,g__Streptomyces
A00003601,g__Peptoclostridium
A00001037,f__Streptosporangiaceae
A00001743,f__Flavobacteriaceae
A00003738,g__Leuconostoc
A00003733,p__Synergistetes
A00003732,f__Flammeovirgaceae
A00003731,g__Cycloclasticus
A00003737,f__Coxiellaceae
A00003736,g__Thermus
A00003734,g__Lachnoclostridium
A00003045,f__Bradyrhizobiaceae
A00003041,f__Rhodobacteraceae
A00003040,g__Selenomonas
A00003042,f__[Acetivibrionaceae]
A00003049,f__Nocardiopsaceae
A00000631,f__Acholeplasmataceae
A00000630,g__Yersinia
A00000637,f__Alcaligenaceae
A00000636,f__Beijerinckiaceae
A00000635,g__Aeromonas
A00000638,g__Burkholderia
A00004122,g__Escherichia
A00000707,g__Chlorobaculum
A00000706,f__Alteromonadaceae
A00000703,g__Candidatus_Kuenenia
A00000702,g__Candidatus_Cloacimonas
A00000701,o__Cytophagales
A00000700,g__Burkholderia
A00000709,g__Prosthecochloris
A00000708,g__Chlorobium
A00004135,g__Acinetobacter
A00000419,g__Mycobacterium
A00000091,f__Sphingomonadaceae
A00000090,g__Pectobacterium
A00000418,g__Methanosaeta
A00000149,g__Methanosarcina
