tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
g__Nitrososphaera,f__Nitrososphaeraceae,rank_5,g__Nitrososphaera,Root,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,
s__Nitrososphaera_viennensis,g__Nitrososphaera,rank_6,s__Nitrososphaera_viennensis,Root,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera_viennensis
g__Faecalibaculum,f__Erysipelotrichaceae,rank_5,g__Faecalibaculum,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalibaculum,
s__Faecalibaculum_rodentium,g__Faecalibaculum,rank_6,s__Faecalibaculum_rodentium,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalibaculum,s__Faecalibaculum_rodentium
g__Balneatrix,f__Nitrincolaceae,rank_5,g__Balneatrix,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae,g__Balneatrix,
s__Balneatrix_alpica,g__Balneatrix,rank_6,s__Balneatrix_alpica,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae,g__Balneatrix,s__Balneatrix_alpica
g__Olivibacter,f__Sphingobacteriaceae,rank_5,g__Olivibacter,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Olivibacter,
s__Olivibacter_sitiensis,g__Olivibacter,rank_6,s__Olivibacter_sitiensis,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Olivibacter,s__Olivibacter_sitiensis
f__Marinifilaceae,o__Bacteroidales,rank_4,f__Marinifilaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,,
g__Odoribacter,f__Marinifilaceae,rank_5,g__Odoribacter,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,
s__Odoribacter_massiliensis,g__Odoribacter,rank_6,s__Odoribacter_massiliensis,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,s__Odoribacter_massiliensis
g__Desulfovibrio_G,f__Desulfovibrionaceae,rank_5,g__Desulfovibrio_G,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio_G,
s__Desulfovibrio_G_africanus,g__Desulfovibrio_G,rank_6,s__Desulfovibrio_G_africanus,Root,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio_G,s__Desulfovibrio_G_africanus
g__UBA3537,f__Flavobacteriaceae,rank_5,g__UBA3537,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA3537,
s__Geobacter_A_pelophilus,g__Geobacter_A,rank_6,s__Geobacter_A_pelophilus,Root,d__Bacteria,p__Desulfuromonadota,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,g__Geobacter_A,s__Geobacter_A_pelophilus
g__Sphingomonas_E,f__Sphingomonadaceae,rank_5,g__Sphingomonas_E,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_E,
s__Mycobacterium_xenopi,g__Mycobacterium,rank_6,s__Mycobacterium_xenopi,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Mycobacterium,s__Mycobacterium_xenopi
f__Jatrophihabitantaceae,o__Corynebacteriales,rank_4,f__Jatrophihabitantaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Jatrophihabitantaceae,,
g__Jatrophihabitans,f__Jatrophihabitantaceae,rank_5,g__Jatrophihabitans,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Jatrophihabitantaceae,g__Jatrophihabitans,
